# AGH 过滤明细日志 - 生成于 2026-02-18 10:26:53.096248
# 总计过滤: 6039 条
================================================================================
[白名单] @@||ui.ads.microsoft.com^                # 被父域 [ads.microsoft.com] 覆盖
[黑名单] ||api.taggrs.io^                         # 被父域 [taggrs.io] 覆盖
[黑名单] ||api.taps.io^                           # 被父域 [taps.io] 覆盖
[黑名单] ||api.zhy333.com^                        # 被父域 [zhy333.com] 覆盖
[黑名单] ||api16-access-ttp*.tiktokpangle-b.us^   # 被父域 [tiktokpangle-b.us] 覆盖
[黑名单] ||api2.amplitude.com^                    # 被父域 [amplitude.com] 覆盖
[黑名单] ||apiadapter.ad5track.com^               # 被父域 [ad5track.com] 覆盖
[黑名单] ||apiv2.moengage.com^                    # 被父域 [moengage.com] 覆盖
[黑名单] ||apiv2.popupsmart.com^                  # 被父域 [popupsmart.com] 覆盖
[黑名单] ||apiv3.moengage.com^                    # 被父域 [moengage.com] 覆盖
[黑名单] ||apodir.oewabox.at^                     # 被父域 [oewabox.at] 覆盖
[黑名单] ||app.adjust.world^                      # 被父域 [adjust.world] 覆盖
[黑名单] ||app.adviad.com^                        # 被父域 [adviad.com] 覆盖
[黑名单] ||app.ardalio.com^                       # 被父域 [ardalio.com] 覆盖
[黑名单] ||app.bugsnag.com^                       # 被父域 [bugsnag.com] 覆盖
[黑名单] ||app.leadsrx.com^                       # 被父域 [leadsrx.com] 覆盖
[黑名单] ||apps.livejasmin.com^                   # 被父域 [livejasmin.com] 覆盖
[黑名单] ||apv-launcher.minute.ly^                # 被父域 [minute.ly] 覆盖
[黑名单] ||arboe.oewabox.at^                      # 被父域 [oewabox.at] 覆盖
[黑名单] ||archsmarter.usesfathom.com^            # 被父域 [usesfathom.com] 覆盖
[黑名单] ||as.sexad.net^                          # 被父域 [sexad.net] 覆盖
[黑名单] ||aschreib.oewabox.at^                   # 被父域 [oewabox.at] 覆盖
[黑名单] ||ascout24.oewabox.at^                   # 被父域 [oewabox.at] 覆盖
[黑名单] ||assets.publicgood.com^                 # 被父域 [publicgood.com] 覆盖
[黑名单] ||astg.widerplanet.com^                  # 被父域 [widerplanet.com] 覆盖
[黑名单] ||atvplus.oewabox.at^                    # 被父域 [oewabox.at] 覆盖
[黑名单] ||audi4e.oewabox.at^                     # 被父域 [oewabox.at] 覆盖
[黑名单] ||austria.oewabox.at^                    # 被父域 [oewabox.at] 覆盖
[黑名单] ||auth.livejasmin.com^                   # 被父域 [livejasmin.com] 覆盖
[黑名单] ||autodiscover.livejasmin.com^           # 被父域 [livejasmin.com] 覆盖
[黑名单] ||automobi.oewabox.at^                   # 被父域 [oewabox.at] 覆盖
[黑名单] ||automoto.oewabox.at^                   # 被父域 [oewabox.at] 覆盖
[黑名单] ||avasgtest.branch.rocks^                # 被父域 [branch.rocks] 覆盖
[黑名单] ||avs.adpinfo.com^                       # 被父域 [adpinfo.com] 覆盖
[黑名单] ||avworld.activehosted.com^              # 被父域 [activehosted.com] 覆盖
[黑名单] ||aws-api.sail-personalize.com^          # 被父域 [sail-personalize.com] 覆盖
[黑名单] ||b-gtc.getui.net^                       # 被父域 [getui.net] 覆盖
[黑名单] ||b.filexan.com^                         # 被父域 [filexan.com] 覆盖
[黑名单] ||b.grabo.bg^                            # 被父域 [grabo.bg] 覆盖
[黑名单] ||b.trueanthem.com^                      # 被父域 [trueanthem.com] 覆盖
[黑名单] ||b1.hentaibaka.one^                     # 被父域 [hentaibaka.one] 覆盖
[黑名单] ||babyf.oewabox.at^                      # 被父域 [oewabox.at] 覆盖
[黑名单] ||backend-ssp.adstudio.cloud^            # 被父域 [adstudio.cloud] 覆盖
[黑名单] ||banks.adpinfo.com^                     # 被父域 [adpinfo.com] 覆盖
[黑名单] ||bannerhost.egamingonline.com^          # 被父域 [egamingonline.com] 覆盖
[黑名单] ||banners.asiafriendfinder.com^          # 被父域 [asiafriendfinder.com] 覆盖
[黑名单] ||banners.direction-x.com^               # 被父域 [direction-x.com] 覆盖
[黑名单] ||banners.getiton.com^                   # 被父域 [getiton.com] 覆盖
[黑名单] ||banners.idolbucks.com^                 # 被父域 [idolbucks.com] 覆盖
[黑名单] ||banners.virtuagirlhd.com^              # 被父域 [virtuagirlhd.com] 覆盖
[黑名单] ||banners3.spacash.com^                  # 被父域 [spacash.com] 覆盖
[黑名单] ||bazar.oewabox.at^                      # 被父域 [oewabox.at] 覆盖
[黑名单] ||bd-js.duote.com^                       # 被父域 [duote.com] 覆盖
[黑名单] ||bd-js1.2345.com^                       # 被父域 [2345.com] 覆盖
[黑名单] ||bd-retrieval1.2345.com^                # 被父域 [2345.com] 覆盖
[黑名单] ||bd1.qcjslm.com^                        # 被父域 [qcjslm.com] 覆盖
[黑名单] ||bd1.yidu.cc^                           # 被父域 [yidu.cc] 覆盖
[黑名单] ||bdb.oewabox.at^                        # 被父域 [oewabox.at] 覆盖
[黑名单] ||bdcode.2345.com^                       # 被父域 [2345.com] 覆盖
[黑名单] ||bdtestsendpulse.branch.rocks^          # 被父域 [branch.rocks] 覆盖
[黑名单] ||beacon-1.newrelic.com^                 # 被父域 [newrelic.com] 覆盖
[黑名单] ||beacon-3.newrelic.com^                 # 被父域 [newrelic.com] 覆盖
[黑名单] ||beacon.mlytics.com^                    # 被父域 [mlytics.com] 覆盖
[黑名单] ||beacon.sojern.com^                     # 被父域 [sojern.com] 覆盖
